exp_id,timestamp,model,target,feature_set,fold,rmsle_all,rmsle_warm,rmsle_cold,rmsle_blend,seed,lb_public,notes
baseline_global_median,2026-08-21T16:14:02,global_median,log1p,naive,A_mevsim,2.166772621103456,2.102485174360842,2.443698669699331,2.182703392774484,42,,naif taban
baseline_global_z,2026-08-21T16:14:02,global_z,log1p,naive,A_mevsim,1.9097861759535864,1.7947230695352323,2.3727973853904274,1.9377552870922188,42,,naif taban
baseline_entity_mean,2026-08-21T16:14:02,entity_mean,log1p,naive,A_mevsim,1.4245264435092289,1.0925153374514722,2.432448210649982,1.4967478423257068,42,,naif taban
baseline_entity_mean_28,2026-08-21T16:14:03,entity_mean_28,log1p,naive,A_mevsim,1.418614242805425,1.0839695312281523,2.430704583686728,1.4912735975105478,42,,naif taban
baseline_entity_dow,2026-08-21T16:14:03,entity_dow,log1p,naive,A_mevsim,1.423259941132738,1.090508005943013,2.432448210649982,1.4956079414696968,42,,naif taban
baseline_seasonal_naive,2026-08-21T16:14:03,seasonal_naive,log1p,naive,A_mevsim,1.4245264435092289,1.0925153374514722,2.432448210649982,1.4967478423257068,42,,naif taban
baseline_seasonal_level_adj,2026-08-21T16:14:03,seasonal_level_adj,log1p,naive,A_mevsim,1.4245264435092289,1.0925153374514722,2.432448210649982,1.4967478423257068,42,,naif taban
baseline_peer_guc_z,2026-08-21T16:14:03,peer_guc_z,log1p,naive,A_mevsim,1.909992647210964,1.7799265496272016,2.425010328683063,1.941452195254012,42,,naif taban
baseline_global_median,2026-08-21T16:14:05,global_median,log1p,naive,B_guncel,2.1500848894208544,2.188838637330638,1.9477817325394096,2.137766059287733,42,,naif taban
baseline_global_z,2026-08-21T16:14:05,global_z,log1p,naive,B_guncel,1.8881805125036395,1.9217592701209865,1.7130352622133709,1.8775083669287649,42,,naif taban
baseline_entity_mean,2026-08-21T16:14:05,entity_mean,log1p,naive,B_guncel,1.3236007451971223,1.154381641163848,1.9542930122686288,1.3724582912202394,42,,naif taban
baseline_entity_mean_28,2026-08-21T16:14:06,entity_mean_28,log1p,naive,B_guncel,1.2504377554472454,1.0478312169502035,1.964514051219148,1.3076195116093088,42,,naif taban
baseline_entity_dow,2026-08-21T16:14:06,entity_dow,log1p,naive,B_guncel,1.3243019325554355,1.1553485368243743,1.9542930122686288,1.3730914525323457,42,,naif taban
