feature,gain
hist_mean,22497.910269632936
hist_mean_7,19738.212484449148
lokasyon_cat,18551.06714360416
hist_mean_z,12773.217883050442
guc,9363.811933860183
bayrama_kalan_gun,9325.537456482649
hist_zero_rate,6759.15557949245
peer_lok_z,5704.80292904377
test_gun_sayisi,4907.545082896948
hist_n,4698.959486275911
hist_mean_28,4398.312400266528
temperature_2m_max,3968.6433250010014
devreye_alinma_yasi,3430.177283361554
hdd_sum_14,3184.136810839176
hist_mean_91,3155.1417871266603
hdd_x_logguc,2645.8397798985243
log_guc,2316.427093937993
cos_doy,2047.3955309391022
peer_guc_wknd_z,1839.638130158186
wind_speed_10m_max,1811.8020211607218
hdd_sum_7,1721.4208685010672
temp_savgol,1614.0505112707615
temp_lag1,1418.1209267675877
day,1398.5810185968876
weekend_x_logguc,1371.5967615246773
hdd_sum_3,1332.519292473793
temp_lag2,1273.5284817516804
temperature_2m_min,1256.5613680630922
hdd,1074.917465224862
holiday_x_logguc,1009.4357451051474
